iter	Passed	Remaining
0	58	58690
1	59	29459
2	59	19714
3	59	14834
4	59	11903
5	60	9951
6	60	8552
7	60	7503
8	60	6688
9	60	6036
10	61	5503
11	61	5059
12	61	4681
13	61	4359
14	62	4079
15	62	3836
16	62	3621
17	62	3429
18	63	3258
19	63	3104
20	63	2965
21	63	2838
22	64	2722
23	64	2615
24	64	2517
25	64	2426
26	65	2342
27	65	2264
28	65	2191
29	65	2123
30	65	2059
31	66	2000
32	66	1943
33	66	1891
34	66	1842
35	67	1795
36	67	1750
37	67	1709
38	67	1673
39	68	1636
40	68	1601
41	68	1568
42	68	1535
43	69	1505
44	69	1475
45	69	1448
46	70	1421
47	70	1395
48	70	1370
49	70	1346
50	71	1323
51	71	1300
52	71	1279
53	71	1258
54	72	1239
55	72	1220
56	72	1202
57	72	1184
58	73	1166
59	73	1149
60	73	1133
61	73	1118
62	74	1102
63	74	1087
64	74	1074
65	74	1059
66	75	1046
67	75	1033
68	75	1020
69	75	1008
70	76	996
71	76	984
72	76	973
73	76	962
74	77	951
75	77	940
76	77	930
77	77	920
78	78	910
79	78	901
80	78	892
81	78	883
82	79	873
83	79	864
84	79	855
85	79	847
86	80	839
87	80	831
88	80	824
89	80	816
90	80	808
91	81	801
92	81	794
93	81	787
94	81	780
95	82	774
96	82	767
97	82	760
98	82	754
99	83	749
100	83	743
101	83	737
102	84	732
103	84	726
104	84	720
105	84	715
106	85	710
107	85	705
108	85	700
109	86	696
110	86	691
111	86	686
112	86	681
113	87	677
114	87	672
115	87	667
116	87	662
117	88	658
118	88	653
119	88	649
120	88	645
121	89	640
122	89	636
123	89	632
124	89	628
125	90	624
126	90	620
127	90	616
128	90	613
129	91	609
130	91	605
131	91	601
132	91	598
133	92	594
134	92	590
135	92	587
136	92	584
137	92	580
138	93	577
139	93	573
140	93	570
141	93	566
142	94	563
143	94	560
144	94	557
145	94	554
146	95	551
147	95	548
148	95	545
149	95	542
150	95	539
151	96	536
152	96	533
153	96	530
154	96	527
155	96	524
156	97	521
157	97	519
158	97	516
159	97	513
160	97	510
161	98	508
162	98	506
163	98	504
164	99	501
165	99	499
166	99	496
167	99	494
168	100	492
169	100	490
170	100	488
171	100	486
172	101	483
173	101	482
174	101	480
175	102	478
176	102	476
177	102	475
178	103	473
179	103	471
180	103	469
181	104	467
182	104	466
183	104	463
184	104	462
185	105	460
186	105	458
187	105	456
188	105	454
189	106	452
190	106	450
191	106	448
192	106	446
193	107	445
194	107	443
195	107	441
196	107	439
197	108	437
198	108	436
199	108	434
200	108	432
201	109	430
202	109	428
203	109	427
204	109	425
205	110	424
206	110	422
207	110	420
208	110	419
209	111	417
210	111	416
211	111	414
212	111	412
213	112	411
214	112	409
215	112	408
216	112	406
217	112	405
218	113	403
219	113	402
220	113	400
221	113	399
222	114	397
223	114	396
224	114	395
225	115	393
226	115	392
227	115	391
228	115	389
229	116	388
230	116	386
231	116	385
232	116	384
233	116	382
234	117	381
235	117	380
236	117	379
237	118	377
238	118	376
239	118	375
240	118	374
241	118	372
242	119	371
243	119	370
244	119	368
245	119	367
246	120	366
247	120	365
248	120	364
249	120	362
250	121	361
251	121	360
252	121	359
253	121	357
254	122	356
255	122	355
256	122	354
257	122	353
258	122	351
259	123	350
260	123	349
261	123	348
262	123	347
263	124	345
264	124	344
265	124	343
266	124	342
267	124	341
268	125	340
269	125	339
270	125	337
271	125	336
272	126	335
273	126	334
274	126	333
275	126	332
276	126	331
277	127	330
278	127	329
279	127	328
280	127	327
281	128	326
282	128	325
283	128	324
284	128	323
285	129	322
286	129	321
287	129	320
288	129	319
289	130	318
290	130	317
291	130	316
292	130	315
293	131	314
294	131	314
295	131	313
296	132	312
297	132	311
298	132	310
299	132	309
300	133	309
301	133	308
302	133	307
303	133	306
304	134	305
305	134	304
306	134	303
307	134	302
308	134	301
309	135	300
310	135	299
311	135	299
312	135	298
313	136	297
314	136	296
315	136	295
316	136	294
317	137	293
318	137	293
319	137	292
320	137	291
321	138	290
322	138	289
323	138	289
324	138	288
325	139	287
326	139	286
327	139	285
328	139	285
329	140	284
330	140	283
331	140	282
332	140	281
333	140	281
334	141	280
335	141	279
336	141	278
337	141	278
338	142	277
339	142	277
340	143	276
341	143	275
342	143	275
343	143	274
344	144	273
345	144	273
346	144	272
347	145	272
348	145	271
349	145	270
350	145	269
351	146	269
352	146	268
353	146	267
354	146	266
355	147	266
356	147	265
357	147	264
358	148	264
359	148	263
360	148	262
361	148	262
362	148	261
363	149	260
364	149	260
365	149	259
366	149	258
367	150	257
368	150	257
369	150	256
370	150	255
371	151	255
372	151	254
373	151	253
374	151	253
375	152	252
376	152	251
377	152	251
378	152	250
379	153	249
380	153	249
381	153	248
382	153	247
383	154	247
384	154	246
385	154	245
386	154	245
387	155	244
388	155	243
389	155	243
390	155	242
391	156	241
392	156	241
393	156	240
394	156	240
395	156	239
396	157	238
397	157	238
398	157	237
399	158	237
400	158	236
401	158	236
402	159	235
403	159	235
404	159	234
405	160	234
406	160	233
407	160	232
408	160	232
409	161	231
410	161	231
411	161	230
412	161	230
413	162	229
414	162	228
415	162	228
416	162	227
417	163	227
418	163	226
419	163	225
420	163	225
421	164	224
422	164	224
423	164	223
424	164	222
425	164	222
426	165	221
427	165	221
428	165	220
429	165	219
430	166	219
431	166	218
432	166	218
433	166	217
434	167	216
435	167	216
436	167	215
437	167	215
438	168	214
439	168	214
440	168	213
441	168	213
442	169	212
443	169	212
444	169	211
445	169	210
446	170	210
447	170	209
448	170	209
449	170	208
450	171	208
451	171	207
452	171	207
453	171	206
454	172	206
455	172	205
456	172	204
457	172	204
458	173	203
459	173	203
460	173	202
461	173	202
462	174	201
463	174	201
464	174	200
465	174	200
466	175	199
467	175	199
468	175	198
469	175	198
470	176	197
471	176	197
472	176	196
473	177	196
474	177	195
475	177	195
476	177	195
477	178	194
478	178	193
479	178	193
480	178	192
481	179	192
482	179	191
483	179	191
484	179	190
485	180	190
486	180	189
487	180	189
488	180	188
489	181	188
490	181	187
491	181	187
492	181	186
493	181	186
494	182	185
495	182	185
496	182	184
497	182	184
498	183	183
499	183	183
500	183	182
501	183	182
502	184	182
503	184	181
504	184	181
505	184	180
506	185	180
507	185	179
508	185	179
509	185	178
510	186	178
511	186	177
512	186	177
513	186	176
514	187	176
515	187	175
516	187	175
517	187	174
518	188	174
519	188	173
520	188	173
521	188	172
522	188	172
523	189	171
524	189	171
525	189	171
526	190	170
527	190	170
528	190	169
529	190	169
530	191	168
531	191	168
532	191	167
533	191	167
534	192	166
535	192	166
536	192	166
537	192	165
538	193	165
539	193	164
540	193	164
541	193	163
542	194	163
543	194	162
544	194	162
545	194	161
546	195	161
547	195	161
548	195	160
549	195	160
550	195	159
551	196	159
552	196	158
553	196	158
554	196	157
555	197	157
556	197	156
557	197	156
558	197	155
559	197	155
560	198	155
561	198	154
562	198	154
563	198	153
564	199	153
565	199	152
566	199	152
567	199	151
568	200	151
569	200	151
570	200	150
571	200	150
572	201	149
573	201	149
574	201	148
575	201	148
576	201	148
577	202	147
578	202	147
579	202	146
580	202	146
581	203	145
582	203	145
583	203	145
584	203	144
585	204	144
586	204	143
587	204	143
588	204	142
589	205	142
590	205	142
591	205	141
592	205	141
593	206	140
594	206	140
595	206	140
596	206	139
597	207	139
598	207	138
599	207	138
600	208	138
601	208	137
602	208	137
603	208	136
604	209	136
605	209	136
606	209	135
607	209	135
608	210	134
609	210	134
610	210	133
611	210	133
612	210	133
613	211	132
614	211	132
615	211	131
616	211	131
617	212	131
618	212	130
619	212	130
620	212	129
621	213	129
622	213	129
623	213	128
624	213	128
625	213	127
626	214	127
627	214	127
628	214	126
629	214	126
630	215	125
631	215	125
632	215	124
633	215	124
634	216	124
635	216	123
636	216	123
637	216	122
638	216	122
639	217	122
640	217	121
641	217	121
642	217	121
643	218	120
644	218	120
645	218	119
646	218	119
647	219	119
648	219	118
649	219	118
650	219	117
651	220	117
652	220	117
653	220	116
654	220	116
655	221	115
656	221	115
657	221	115
658	221	114
659	222	114
660	222	114
661	222	113
662	222	113
663	223	112
664	223	112
665	223	112
666	223	111
667	224	111
668	224	111
669	224	110
670	225	110
671	225	110
672	225	109
673	225	109
674	226	108
675	226	108
676	226	108
677	226	107
678	227	107
679	227	106
680	227	106
681	227	106
682	228	105
683	228	105
684	228	105
685	228	104
686	229	104
687	229	103
688	229	103
689	229	103
690	230	102
691	230	102
692	230	102
693	230	101
694	230	101
695	231	101
696	231	100
697	231	100
698	232	99
699	232	99
700	232	99
701	232	98
702	232	98
703	233	98
704	233	97
705	233	97
706	233	96
707	234	96
708	234	96
709	234	95
710	234	95
711	235	95
712	235	94
713	235	94
714	235	93
715	236	93
716	236	93
717	236	92
718	236	92
719	237	92
720	237	91
721	237	91
722	237	91
723	238	90
724	238	90
725	238	90
726	238	89
727	239	89
728	239	88
729	239	88
730	239	88
731	240	87
732	240	87
733	240	87
734	240	86
735	241	86
736	241	86
737	241	85
738	241	85
739	242	85
740	242	84
741	242	84
742	242	83
743	242	83
744	243	83
745	243	82
746	243	82
747	243	82
748	244	81
749	244	81
750	244	81
751	244	80
752	245	80
753	245	80
754	245	79
755	245	79
756	246	78
757	246	78
758	246	78
759	246	77
760	247	77
761	247	77
762	247	76
763	247	76
764	248	76
765	248	75
766	248	75
767	248	75
768	248	74
769	249	74
770	249	74
771	249	73
772	249	73
773	250	73
774	250	72
775	250	72
776	250	71
777	251	71
778	251	71
779	251	70
780	251	70
781	252	70
782	252	69
783	252	69
784	252	69
785	253	68
786	253	68
787	253	68
788	253	67
789	254	67
790	254	67
791	254	66
792	254	66
793	255	66
794	255	65
795	255	65
796	255	65
797	256	64
798	256	64
799	256	64
800	256	63
801	257	63
802	257	63
803	257	62
804	257	62
805	258	62
806	258	61
807	258	61
808	258	61
809	259	60
810	259	60
811	259	60
812	259	59
813	259	59
814	260	59
815	260	58
816	260	58
817	260	58
818	261	57
819	261	57
820	261	57
821	261	56
822	262	56
823	262	56
824	262	55
825	262	55
826	263	55
827	263	54
828	263	54
829	263	54
830	264	53
831	264	53
832	264	53
833	264	52
834	265	52
835	265	52
836	265	51
837	265	51
838	266	51
839	266	50
840	266	50
841	266	50
842	267	49
843	267	49
844	267	49
845	267	48
846	268	48
847	268	48
848	268	47
849	268	47
850	269	47
851	269	46
852	269	46
853	269	46
854	270	45
855	270	45
856	270	45
857	271	44
858	271	44
859	271	44
860	271	43
861	272	43
862	272	43
863	272	42
864	273	42
865	273	42
866	273	41
867	273	41
868	273	41
869	274	40
870	274	40
871	274	40
872	274	39
873	275	39
874	275	39
875	275	39
876	275	38
877	276	38
878	276	38
879	276	37
880	276	37
881	277	37
882	277	36
883	277	36
884	277	36
885	278	35
886	278	35
887	278	35
888	278	34
889	279	34
890	279	34
891	279	33
892	279	33
893	279	33
894	280	32
895	280	32
896	280	32
897	280	31
898	281	31
899	281	31
900	281	30
901	281	30
902	282	30
903	282	29
904	282	29
905	282	29
906	283	29
907	283	28
908	283	28
909	283	28
910	284	27
911	284	27
912	284	27
913	284	26
914	285	26
915	285	26
916	285	25
917	285	25
918	286	25
919	286	24
920	286	24
921	286	24
922	287	23
923	287	23
924	287	23
925	287	23
926	288	22
927	288	22
928	288	22
929	288	21
930	289	21
931	289	21
932	289	20
933	289	20
934	290	20
935	290	19
936	290	19
937	290	19
938	291	18
939	291	18
940	291	18
941	291	17
942	292	17
943	292	17
944	292	17
945	292	16
946	293	16
947	293	16
948	293	15
949	293	15
950	294	15
951	294	14
952	294	14
953	294	14
954	295	13
955	295	13
956	295	13
957	295	12
958	296	12
959	296	12
960	296	12
961	296	11
962	297	11
963	297	11
964	297	10
965	297	10
966	298	10
967	298	9
968	298	9
969	298	9
970	299	8
971	299	8
972	299	8
973	300	8
974	300	7
975	300	7
976	300	7
977	300	6
978	301	6
979	301	6
980	301	5
981	302	5
982	302	5
983	302	4
984	302	4
985	303	4
986	303	3
987	303	3
988	303	3
989	304	3
990	304	2
991	304	2
992	304	2
993	304	1
994	305	1
995	305	1
996	305	0
997	305	0
998	306	0
999	306	0
